trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
68	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_upright_6_right	7-44	upright	6	right	(-21, -14)	(-17, 5)	2.0	-4.0	4.0	1358	0	2
69	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_8_right	ycyc	inverted	8	right	(-16, 3)	(14, 14)	5.0	-3.0	3.0	1294	0	5
70	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_5_right	7-44	inverted	5	right	(6, 2)	(8, -14)	4.0	-1.0	1.0	1392	0	4
71	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_3_left	ycyc	inverted	3	left	(37, -14)	(-19, -6)	-5.0	-2.0	2.0	2476	5	0
72	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_7_left	7-44	inverted	7	left	(-12, -14)	(34, -10)	-7.0	0.0	0.0	1276	7	0
73	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_16_left	ycyc	upright	16	left	(-28, 5)	(32, -4)	-20.0	-4.0	4.0	1677	20	0
74	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_12_left	ycyc	upright	12	left	(-17, -6)	(-35, -3)	-11.0	1.0	1.0	1259	11	0
75	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_upright_1_left	7-44	upright	1	left	(36, 9)	(14, -13)	0.0	1.0	1.0	1127	0	0
76	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_15_left	7-44	inverted	15	left	(4, 9)	(-16, 0)	-11.0	4.0	4.0	1460	11	0
77	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_12_right	ycyc	inverted	12	right	(-20, -10)	(11, 10)	6.0	-6.0	6.0	1194	0	6
78	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_4_right	ycyc	upright	4	right	(19, 9)	(2, 13)	2.0	-2.0	2.0	1159	0	2
79	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_14_left	ycyc	upright	14	left	(-36, -10)	(-18, 3)	-10.0	4.0	4.0	1861	10	0
80	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_14_left	7-44	inverted	14	left	(13, -11)	(25, 5)	-15.0	-1.0	1.0	1326	15	0
81	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_9_left	7-44	inverted	9	left	(10, -12)	(10, 11)	-9.0	0.0	0.0	1094	9	0
82	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_16_left	7-44	inverted	16	left	(-25, -8)	(-27, -2)	-13.0	3.0	3.0	1227	13	0
83	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_upright_11_right	7-44	upright	11	right	(-1, 8)	(-3, 2)	8.0	-3.0	3.0	1511	0	8
84	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_4_left	ycyc	upright	4	left	(-28, -4)	(26, 4)	-7.0	-3.0	3.0	1409	7	0
85	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_12_right	ycyc	upright	12	right	(20, 4)	(-9, 2)	6.0	-6.0	6.0	993	0	6
86	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_15_right	7-44	inverted	15	right	(-3, -15)	(-20, 6)	10.0	-5.0	5.0	1610	0	10
87	real	2022-10-12 18:39	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_2_left	ycyc	inverted	2	left	(9, 7)	(-11, -12)	-2.0	0.0	0.0	1444	2	0
88	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_13_left	ycyc	inverted	13	left	(25, 5)	(20, -12)	-7.0	6.0	6.0	2077	10	3
89	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_1_right	7-44	inverted	1	right	(33, 13)	(11, 3)	2.0	1.0	1.0	1778	2	4
90	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_15_right	ycyc	inverted	15	right	(-13, -6)	(5, -13)	8.0	-7.0	7.0	1176	0	8
91	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_12_left	7-44	inverted	12	left	(-16, 4)	(31, 1)	-9.0	3.0	3.0	1111	9	0
92	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_9_right	ycyc	upright	9	right	(-37, -13)	(11, 10)	2.0	-7.0	7.0	1326	0	2
93	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_upright_16_left	7-44	upright	16	left	(-36, -15)	(15, -5)	-11.0	5.0	5.0	1058	11	0
94	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_2_left	7-44	inverted	2	left	(-18, 8)	(-34, -4)	0.0	2.0	2.0	810	0	0
95	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(1, 5)	(20, 10)	-12.0	3.0	3.0	1778	13	1
96	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_6_left	7-44	inverted	6	left	(-19, -15)	(-14, -11)	-3.0	3.0	3.0	1643	3	0
97	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_10_right	7-44	inverted	10	right	(-3, 11)	(-15, -8)	5.0	-5.0	5.0	1257	0	5
98	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(-9, -3)	(38, 2)	-4.0	-1.0	1.0	1162	4	0
99	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_3_right	7-44	inverted	3	right	(34, 4)	(13, 12)	1.0	-2.0	2.0	1045	0	1
100	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(30, 9)	(-37, -11)	-11.0	-1.0	1.0	1460	11	0
101	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_7_right	ycyc	inverted	7	right	(-40, -12)	(-37, 11)	3.0	-4.0	4.0	2175	0	3
102	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_8_left	ycyc	inverted	8	left	(-33, 6)	(-18, -12)	-6.0	2.0	2.0	1058	6	0
103	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_9_left	ycyc	upright	9	left	(9, -13)	(-39, 6)	-10.0	-1.0	1.0	2511	10	0
104	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_16_right	ycyc	inverted	16	right	(15, 8)	(-17, 4)	7.0	-9.0	9.0	1725	0	7
105	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_upright_5_left	7-44	upright	5	left	(13, 13)	(-34, 2)	-3.0	2.0	2.0	1060	3	0
106	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_upright_3_right	7-44	upright	3	right	(-19, -14)	(8, 3)	3.0	0.0	0.0	1257	0	3
107	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(18, -1)	(2, -10)	-8.0	2.0	2.0	1010	8	0
108	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_9_right	ycyc	inverted	9	right	(-36, -3)	(18, 0)	2.0	-7.0	7.0	1292	0	2
109	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_12_left	ycyc	inverted	12	left	(6, 6)	(-31, -11)	-11.0	1.0	1.0	1344	11	0
110	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	7-44_upright_3_left	7-44	upright	3	left	(-7, -7)	(-18, -13)	-2.0	1.0	1.0	1542	2	0
111	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_13_left	ycyc	upright	13	left	(18, -15)	(-21, -7)	-14.0	-1.0	1.0	1443	14	0
112	real	2022-10-12 18:40	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_11_left	ycyc	upright	11	left	(-30, 14)	(27, -6)	-10.0	1.0	1.0	1683	12	2
113	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_13_left	7-44	upright	13	left	(-22, 9)	(-27, 2)	-11.0	2.0	2.0	1227	11	0
114	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_11_right	7-44	inverted	11	right	(-25, -6)	(39, 10)	9.0	-2.0	2.0	1428	0	9
115	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_11_left	7-44	upright	11	left	(2, 10)	(-40, 3)	-11.0	0.0	0.0	1530	12	1
116	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_13_right	ycyc	inverted	13	right	(-7, 5)	(26, -2)	11.0	-2.0	2.0	1460	0	11
117	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_7_right	7-44	upright	7	right	(25, -11)	(-33, 5)	3.0	-4.0	4.0	1594	2	5
118	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_10_right	ycyc	upright	10	right	(-33, 4)	(-33, 5)	6.0	-4.0	4.0	1176	0	6
119	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_13_left	7-44	inverted	13	left	(-13, 2)	(-39, -9)	-11.0	2.0	2.0	1176	11	0
120	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_14_right	7-44	upright	14	right	(-22, -6)	(13, -11)	6.0	-8.0	8.0	1360	0	6
121	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_12_right	7-44	inverted	12	right	(-37, -4)	(26, 6)	10.0	-2.0	2.0	1493	0	10
122	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_9_right	7-44	upright	9	right	(-26, 0)	(-2, -1)	6.0	-3.0	3.0	1210	0	6
123	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_8_right	7-44	upright	8	right	(19, -10)	(-22, -15)	4.0	-4.0	4.0	1042	0	4
124	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_10_right	ycyc	inverted	10	right	(11, 4)	(-21, -1)	7.0	-3.0	3.0	1209	0	7
125	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_16_left	ycyc	inverted	16	left	(-18, -5)	(24, 6)	-12.0	4.0	4.0	1210	12	0
126	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_7_right	ycyc	upright	7	right	(20, -11)	(-35, 0)	5.0	-2.0	2.0	1494	3	8
127	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_4_left	7-44	upright	4	left	(35, -3)	(-19, 0)	-4.0	0.0	0.0	1408	4	0
128	real	2022-10-12 18:41	lmodahl	10	1	left	Exercise 5	1	7-44_upright_2_left	7-44	upright	2	left	(-5, -9)	(23, 1)	-3.0	-1.0	1.0	1659	3	0
