trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
6	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_3_left	ycyc	inverted	3	left	(16, -12)	(13, 11)	-7.0	-4.0	4.0	3283	0	7
7	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_11_right	ycyc	inverted	11	right	(-36, 12)	(-40, -1)	6.0	-5.0	5.0	2584	12	6
8	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_12_right	ycyc	inverted	12	right	(28, -13)	(-34, -4)	11.0	-1.0	1.0	3799	17	6
9	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_16_left	7-44	upright	16	left	(-29, -11)	(-27, 4)	-14.0	2.0	2.0	3100	20	34
10	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(18, 11)	(22, -11)	0.0	3.0	3.0	2051	0	0
11	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_9_left	ycyc	upright	9	left	(18, 12)	(15, 9)	-11.0	-2.0	2.0	2616	0	11
12	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_2_left	7-44	inverted	2	left	(24, 14)	(17, -5)	-5.0	-3.0	3.0	3168	4	9
13	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_11_right	7-44	inverted	11	right	(-7, 13)	(18, -2)	8.0	-3.0	3.0	4702	12	4
14	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_7_right	ycyc	inverted	7	right	(2, 5)	(26, 14)	8.0	1.0	1.0	4418	16	8
15	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_8_right	7-44	inverted	8	right	(26, -11)	(-10, -5)	10.0	2.0	2.0	2821	10	0
16	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_6_right	7-44	inverted	6	right	(39, -14)	(-15, 5)	6.0	0.0	0.0	4365	13	7
17	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_7_right	ycyc	upright	7	right	(35, 3)	(21, -15)	5.0	-2.0	2.0	3466	5	0
18	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_2_right	ycyc	inverted	2	right	(-26, -6)	(15, 12)	0.0	-2.0	2.0	3699	0	0
19	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_6_right	ycyc	upright	6	right	(-9, 7)	(-3, 13)	2.0	-4.0	4.0	5046	6	4
20	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_16_right	7-44	inverted	16	right	(-29, -14)	(36, 14)	15.0	-1.0	1.0	3797	21	6
21	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_14_left	ycyc	inverted	14	left	(30, 9)	(-27, 11)	-12.0	2.0	2.0	2450	2	14
22	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_10_left	7-44	upright	10	left	(-4, -10)	(21, -11)	-11.0	-1.0	1.0	3616	14	25
23	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_2_right	7-44	upright	2	right	(6, 4)	(11, 14)	0.0	-2.0	2.0	2937	0	0
24	real	2022-10-12 13:58	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_3_left	7-44	upright	3	left	(-16, -4)	(-17, -13)	-5.0	-2.0	2.0	3799	5	10
25	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_13_right	7-44	upright	13	right	(35, -9)	(14, -9)	9.0	-4.0	4.0	2419	9	0
26	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_10_right	ycyc	inverted	10	right	(-28, 6)	(-1, 13)	10.0	0.0	0.0	3466	10	0
27	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_4_right	7-44	inverted	4	right	(19, 12)	(26, 8)	5.0	1.0	1.0	5598	7	2
28	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_13_right	ycyc	inverted	13	right	(14, -1)	(31, -9)	8.0	-5.0	5.0	2189	8	0
29	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_11_right	ycyc	upright	11	right	(-6, 4)	(6, -12)	8.0	-3.0	3.0	3665	8	0
30	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_1_left	7-44	inverted	1	left	(-40, -9)	(14, 4)	0.0	1.0	1.0	3266	0	0
31	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_16_left	ycyc	inverted	16	left	(12, 12)	(8, 12)	-9.0	7.0	7.0	3320	10	19
