trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
72	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_7_left	7-44	inverted	7	left	(-12, -14)	(34, -10)	-3.0	4.0	4.0	4563	29	32
73	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_16_left	ycyc	upright	16	left	(-28, 5)	(32, -4)	-9.0	7.0	7.0	1430	0	9
74	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_12_left	ycyc	upright	12	left	(-17, -6)	(-35, -3)	-9.0	3.0	3.0	2564	9	18
75	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_1_left	7-44	upright	1	left	(36, 9)	(14, -13)	-5.0	-4.0	4.0	1300	0	5
76	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_15_left	7-44	inverted	15	left	(4, 9)	(-16, 0)	-15.0	0.0	0.0	1570	0	15
77	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_12_right	ycyc	inverted	12	right	(-20, -10)	(11, 10)	13.0	1.0	1.0	1560	13	0
78	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_4_right	ycyc	upright	4	right	(19, 9)	(2, 13)	0.0	-4.0	4.0	1829	5	5
79	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_14_left	ycyc	upright	14	left	(-36, -10)	(-18, 3)	-14.0	0.0	0.0	1532	0	14
80	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_14_left	7-44	inverted	14	left	(13, -11)	(25, 5)	-18.0	-4.0	4.0	1965	0	18
81	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_9_left	7-44	inverted	9	left	(10, -12)	(10, 11)	-13.0	-4.0	4.0	1627	0	13
82	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_16_left	7-44	inverted	16	left	(-25, -8)	(-27, -2)	-14.0	2.0	2.0	1664	0	14
83	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_11_right	7-44	upright	11	right	(-1, 8)	(-3, 2)	9.0	-2.0	2.0	3094	16	7
84	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_4_left	ycyc	upright	4	left	(-28, -4)	(26, 4)	-3.0	1.0	1.0	3367	6	9
85	real	2022-10-12 16:17	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_12_right	ycyc	upright	12	right	(20, 4)	(-9, 2)	9.0	-3.0	3.0	3968	18	9
86	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_15_right	7-44	inverted	15	right	(-3, -15)	(-20, 6)	14.0	-1.0	1.0	2491	15	1
87	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_2_left	ycyc	inverted	2	left	(9, 7)	(-11, -12)	0.0	2.0	2.0	843	0	0
88	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_13_left	ycyc	inverted	13	left	(25, 5)	(20, -12)	-7.0	6.0	6.0	3478	13	20
89	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_1_right	7-44	inverted	1	right	(33, 13)	(11, 3)	0.0	-1.0	1.0	793	0	0
90	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_15_right	ycyc	inverted	15	right	(-13, -6)	(5, -13)	0.0	-15.0	15.0	1211	0	0
