trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
84	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_4_left	ycyc	upright	4	left	(-28, -4)	(26, 4)	-6.0	-2.0	2.0	2878	2	8
85	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_12_right	ycyc	upright	12	right	(20, 4)	(-9, 2)	12.0	0.0	0.0	3812	12	0
86	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_15_right	7-44	inverted	15	right	(-3, -15)	(-20, 6)	16.0	1.0	1.0	2778	16	0
87	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_2_left	ycyc	inverted	2	left	(9, 7)	(-11, -12)	-3.0	-1.0	1.0	2112	0	3
88	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_13_left	ycyc	inverted	13	left	(25, 5)	(20, -12)	-11.0	2.0	2.0	2727	0	11
89	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_1_right	7-44	inverted	1	right	(33, 13)	(11, 3)	2.0	1.0	1.0	1393	2	0
90	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_15_right	ycyc	inverted	15	right	(-13, -6)	(5, -13)	13.0	-2.0	2.0	2911	13	0
91	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_12_left	7-44	inverted	12	left	(-16, 4)	(31, 1)	-7.0	5.0	5.0	3660	11	18
92	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_9_right	ycyc	upright	9	right	(-37, -13)	(11, 10)	8.0	-1.0	1.0	2696	8	0
93	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_upright_16_left	7-44	upright	16	left	(-36, -15)	(15, -5)	-17.0	-1.0	1.0	2461	0	17
94	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_2_left	7-44	inverted	2	left	(-18, 8)	(-34, -4)	-4.0	-2.0	2.0	1977	1	5
95	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(1, 5)	(20, 10)	-15.0	0.0	0.0	2011	0	15
96	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_6_left	7-44	inverted	6	left	(-19, -15)	(-14, -11)	-9.0	-3.0	3.0	1646	0	9
97	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_10_right	7-44	inverted	10	right	(-3, 11)	(-15, -8)	8.0	-2.0	2.0	1810	8	0
98	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(-9, -3)	(38, 2)	-1.0	2.0	2.0	1578	0	1
99	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_3_right	7-44	inverted	3	right	(34, 4)	(13, 12)	9.0	6.0	6.0	1495	9	0
100	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(30, 9)	(-37, -11)	-8.0	2.0	2.0	1544	0	8
101	real	2022-10-12 13:17	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_7_right	ycyc	inverted	7	right	(-40, -12)	(-37, 11)	7.0	0.0	0.0	1644	7	0
102	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_8_left	ycyc	inverted	8	left	(-33, 6)	(-18, -12)	-8.0	0.0	0.0	2836	1	9
103	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_9_left	ycyc	upright	9	left	(9, -13)	(-39, 6)	-8.0	1.0	1.0	1695	0	8
104	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_16_right	ycyc	inverted	16	right	(15, 8)	(-17, 4)	11.0	-5.0	5.0	1811	11	0
105	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_5_left	7-44	upright	5	left	(13, 13)	(-34, 2)	-6.0	-1.0	1.0	3245	4	10
106	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_3_right	7-44	upright	3	right	(-19, -14)	(8, 3)	1.0	-2.0	2.0	1360	1	0
107	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(18, -1)	(2, -10)	-11.0	-1.0	1.0	2111	0	11
108	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_9_right	ycyc	inverted	9	right	(-36, -3)	(18, 0)	5.0	-4.0	4.0	2426	5	0
109	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_12_left	ycyc	inverted	12	left	(6, 6)	(-31, -11)	-10.0	2.0	2.0	1711	0	10
110	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_3_left	7-44	upright	3	left	(-7, -7)	(-18, -13)	-7.0	-4.0	4.0	1744	0	7
111	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_13_left	ycyc	upright	13	left	(18, -15)	(-21, -7)	-11.0	2.0	2.0	2677	0	11
112	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_11_left	ycyc	upright	11	left	(-30, 14)	(27, -6)	-11.0	0.0	0.0	1794	0	11
113	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_13_left	7-44	upright	13	left	(-22, 9)	(-27, 2)	-12.0	1.0	1.0	3312	0	12
114	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_11_right	7-44	inverted	11	right	(-25, -6)	(39, 10)	9.0	-2.0	2.0	1979	9	0
115	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_11_left	7-44	upright	11	left	(2, 10)	(-40, 3)	-10.0	1.0	1.0	1710	0	10
116	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_13_right	ycyc	inverted	13	right	(-7, 5)	(26, -2)	6.0	-7.0	7.0	1361	6	0
117	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_7_right	7-44	upright	7	right	(25, -11)	(-33, 5)	9.0	2.0	2.0	1649	9	0
118	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_10_right	ycyc	upright	10	right	(-33, 4)	(-33, 5)	11.0	1.0	1.0	1411	11	0
119	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_13_left	7-44	inverted	13	left	(-13, 2)	(-39, -9)	-10.0	3.0	3.0	1410	0	10
120	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_upright_14_right	7-44	upright	14	right	(-22, -6)	(13, -11)	10.0	-4.0	4.0	1293	10	0
121	real	2022-10-12 13:18	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_12_right	7-44	inverted	12	right	(-37, -4)	(26, 6)	11.0	-1.0	1.0	1780	11	0
122	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	7-44_upright_9_right	7-44	upright	9	right	(-26, 0)	(-2, -1)	6.0	-3.0	3.0	1502	6	0
123	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	7-44_upright_8_right	7-44	upright	8	right	(19, -10)	(-22, -15)	5.0	-3.0	3.0	1360	5	0
124	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_10_right	ycyc	inverted	10	right	(11, 4)	(-21, -1)	7.0	-3.0	3.0	3143	7	0
125	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_16_left	ycyc	inverted	16	left	(-18, -5)	(24, 6)	-14.0	2.0	2.0	2460	0	14
126	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_7_right	ycyc	upright	7	right	(20, -11)	(-35, 0)	9.0	2.0	2.0	1261	9	0
127	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	7-44_upright_4_left	7-44	upright	4	left	(35, -3)	(-19, 0)	-9.0	-5.0	5.0	1363	0	9
128	real	2022-10-12 13:19	leanthony2	10	1	right	Exercise 5	1	7-44_upright_2_left	7-44	upright	2	left	(-5, -9)	(23, 1)	-4.0	-2.0	2.0	1710	0	4
